n_samples,n_dimensions,repetition,seed,n_classes,k,offline_chunk_size,offline_memory_budget_mb,total_seconds,clustering_seconds,overlap_scoring_seconds,other_seconds,index
5000,500,0,20260807,5,8,10000,256,0.08735179202631116,0.06156025035306811,0.012514499947428703,0.013277041725814342,0.2996
5000,500,1,20260808,5,8,10000,256,0.05787833407521248,0.03709049988538027,0.013321749866008759,0.007466084323823452,0.29219999999999996
5000,500,2,20260809,5,8,10000,256,0.05298587493598461,0.03240679111331701,0.013250334188342094,0.007328749634325504,0.30460000000000004
5000,500,3,20260810,5,8,10000,256,0.05918145878240466,0.039237667340785265,0.011904541868716478,0.008039249572902918,0.2952
5000,500,4,20260811,5,8,10000,256,0.06077624997124076,0.042051916010677814,0.011180667206645012,0.0075436667539179325,0.25620000000000004
