n_samples,n_dimensions,repetition,seed,n_classes,k,offline_chunk_size,total_seconds,clustering_seconds,overlap_scoring_seconds,other_seconds,index
1000,500,1,20260859,5,8,10000,0.022237583063542843,0.01798716699704528,0.0030367919243872166,0.0012136241421103477,0.251
1000,500,2,20260860,5,8,10000,0.019037208054214716,0.014817208051681519,0.0029985420405864716,0.0012214579619467258,0.23899999999999996
2000,10,0,20260861,5,8,10000,0.014390207827091217,0.009516958147287369,0.0027775838971138,0.0020956657826900482,0.41899999999999993
2000,10,1,20260862,5,8,10000,0.014588125050067902,0.00987262511625886,0.0027379170060157776,0.0019775829277932644,0.46799999999999997
2000,10,2,20260863,5,8,10000,0.01318824989721179,0.008649124763906002,0.0026895832270383835,0.0018495419062674046,0.4795
2000,25,0,20260864,5,8,10000,0.014609542209655046,0.00980599969625473,0.002961208578199148,0.001842333935201168,0.4795
2000,25,1,20260865,5,8,10000,0.015921332873404026,0.011005416978150606,0.0030623339116573334,0.0018535819835960865,0.477
2000,25,2,20260866,5,8,10000,0.016566124744713306,0.011674208100885153,0.00304637523368001,0.0018455414101481438,0.45499999999999996
2000,50,0,20260867,5,8,10000,0.018590666353702545,0.01354449987411499,0.003202249761670828,0.001843916717916727,0.48949999999999994
2000,50,1,20260868,5,8,10000,0.019831957761198282,0.014810415916144848,0.0031612920574843884,0.001860249787569046,0.49450000000000005
2000,50,2,20260869,5,8,10000,0.016523458063602448,0.011514957994222641,0.0031204582192003727,0.0018880418501794338,0.46349999999999997
2000,100,0,20260870,5,8,10000,0.019248166121542454,0.014045375399291515,0.0032755411230027676,0.0019272495992481709,0.43950000000000006
2000,100,1,20260871,5,8,10000,0.020624040625989437,0.0152706247754395,0.0033424999564886093,0.002010915894061327,0.42699999999999994
2000,100,2,20260872,5,8,10000,0.017528832890093327,0.012546374928206205,0.0029937499202787876,0.0019887080416083336,0.46349999999999997
2000,250,0,20260873,5,8,10000,0.023308709263801575,0.016701291780918837,0.004241124726831913,0.002366292756050825,0.3504999999999999
2000,250,1,20260874,5,8,10000,0.02900441689416766,0.0226884582079947,0.004146333783864975,0.002169624902307987,0.33399999999999996
2000,250,2,20260875,5,8,10000,0.02554254187270999,0.01925520785152912,0.004115208052098751,0.002172125969082117,0.3665
2000,500,0,20260876,5,8,10000,0.04331616684794426,0.034624249674379826,0.006075083278119564,0.00261683389544487,0.3135
2000,500,1,20260877,5,8,10000,0.037585875019431114,0.02877516718581319,0.006269792094826698,0.0025409157387912273,0.3855
2000,500,2,20260878,5,8,10000,0.047531415708363056,0.03867137525230646,0.006360459141433239,0.002499581314623356,0.2835
3500,10,0,20260879,5,8,10000,0.020796332973986864,0.012420625425875187,0.004918833263218403,0.0034568742848932743,0.46171428571428574
3500,10,1,20260880,5,8,10000,0.020665958989411592,0.01250370778143406,0.004891290795058012,0.0032709604129195213,0.476
3500,10,2,20260881,5,8,10000,0.024108415935188532,0.015584374777972698,0.005038999952375889,0.003485041204839945,0.4708571428571428
3500,25,0,20260882,5,8,10000,0.02622500015422702,0.01783199980854988,0.005065750330686569,0.003327250014990568,0.5122857142857142
3500,25,1,20260883,5,8,10000,0.022322624921798706,0.013896625023335218,0.005142707843333483,0.003283292055130005,0.48114285714285715
3500,25,2,20260884,5,8,10000,0.02582699991762638,0.017493417020887136,0.005039290990680456,0.0032942919060587883,0.4674285714285714
3500,50,0,20260885,5,8,10000,0.03034220775589347,0.021906625013798475,0.005130709148943424,0.0033048735931515694,0.4685714285714285
3500,50,1,20260886,5,8,10000,0.026277208235114813,0.018130959011614323,0.004857500083744526,0.0032887491397559643,0.47057142857142853
3500,50,2,20260887,5,8,10000,0.02929362514987588,0.02123745810240507,0.004726457875221968,0.0033297091722488403,0.48428571428571426
3500,100,0,20260888,5,8,10000,0.033765874803066254,0.02425508387386799,0.005867415573447943,0.0036433753557503223,0.4434285714285714
3500,100,1,20260889,5,8,10000,0.03399270819500089,0.023948833346366882,0.0058091250248253345,0.00423474982380867,0.4602857142857143
3500,100,2,20260890,5,8,10000,0.03503195894882083,0.024973667226731777,0.005962582770735025,0.004095708951354027,0.4622857142857143
3500,250,0,20260891,5,8,10000,0.04111808305606246,0.030319999903440475,0.006968583911657333,0.003829499240964651,0.41228571428571426
3500,250,1,20260892,5,8,10000,0.04169466672465205,0.030427957884967327,0.007392583414912224,0.003874125424772501,0.41914285714285715
3500,250,2,20260893,5,8,10000,0.05066895904019475,0.02894979203119874,0.006863750051707029,0.01485541695728898,0.38228571428571423
3500,500,0,20260894,5,8,10000,0.08394783269613981,0.06683279108256102,0.012996832840144634,0.004118208773434162,0.372
3500,500,1,20260895,5,8,10000,0.071987375151366,0.05551620898768306,0.012452082708477974,0.004019083455204964,0.3188571428571429
3500,500,2,20260896,5,8,10000,0.09330458287149668,0.07730779191479087,0.012068250216543674,0.003928540740162134,0.2988571428571428
5000,10,0,20260897,5,8,10000,0.031361750327050686,0.020220791921019554,0.006494832690805197,0.004646125715225935,0.47240000000000004
5000,10,1,20260898,5,8,10000,0.0296032908372581,0.018507041968405247,0.006476667243987322,0.004619581624865532,0.48860000000000003
5000,10,2,20260899,5,8,10000,0.030569041147828102,0.01930433278903365,0.006541000213474035,0.0047237081453204155,0.4726
5000,25,0,20260900,5,8,10000,0.035323332995176315,0.024128417018800974,0.0065048751421272755,0.004690040834248066,0.46560000000000007
5000,25,1,20260901,5,8,10000,0.03036612505093217,0.019135499838739634,0.00648475019261241,0.004745875019580126,0.48580000000000007
5000,25,2,20260902,5,8,10000,0.03369708266109228,0.022858624812215567,0.006135832984000444,0.00470262486487627,0.4856
5000,50,0,20260903,5,8,10000,0.03595854202285409,0.02482220809906721,0.00635145790874958,0.004784876015037298,0.5036
5000,50,1,20260904,5,8,10000,0.03017720766365528,0.01902308315038681,0.006317165680229664,0.004836958833038807,0.4838
5000,50,2,20260905,5,8,10000,0.03102399967610836,0.018709416035562754,0.007299667224287987,0.00501491641625762,0.5132000000000001
5000,100,0,20260906,5,8,10000,0.04186558397486806,0.029404291883111,0.007331124972552061,0.005130167119204998,0.489
5000,100,1,20260907,5,8,10000,0.04045895766466856,0.02795162471011281,0.007489874958992004,0.0050174579955637455,0.4917999999999999
5000,100,2,20260908,5,8,10000,0.048272499814629555,0.03559324983507395,0.0076021249406039715,0.005077125038951635,0.47459999999999997
5000,250,0,20260909,5,8,10000,0.07506687473505735,0.05782887525856495,0.012129084207117558,0.005108915269374847,0.45099999999999996
5000,250,1,20260910,5,8,10000,0.08311516605317593,0.06305758282542229,0.014919790904968977,0.005137792322784662,0.45099999999999996
5000,250,2,20260911,5,8,10000,0.09893524972721934,0.08059633430093527,0.012472374830394983,0.0058665405958890915,0.4412
5000,500,0,20260912,5,8,10000,0.13266391726210713,0.10583937494084239,0.02121304115280509,0.005611501168459654,0.36
5000,500,1,20260913,5,8,10000,0.1462830831296742,0.1212770827114582,0.01912495819851756,0.005881042219698429,0.3912
5000,500,2,20260914,5,8,10000,0.16038929158821702,0.1363783753477037,0.01801312528550625,0.005997790955007076,0.4096
