n_samples,n_dimensions,n_repetitions,median_total_seconds,mean_total_seconds,std_total_seconds,min_total_seconds,max_total_seconds,median_clustering_seconds,mean_clustering_seconds,std_clustering_seconds,min_clustering_seconds,max_clustering_seconds,median_overlap_scoring_seconds,mean_overlap_scoring_seconds,std_overlap_scoring_seconds,min_overlap_scoring_seconds,max_overlap_scoring_seconds,median_other_seconds,mean_other_seconds,std_other_seconds,min_other_seconds,max_other_seconds,median_index,mean_index,std_index,min_index,max_index
500,250,3,0.011101500131189823,0.010954513680189848,0.00021346276587245338,0.010652665980160236,0.011109374929219484,0.008674959186464548,0.00856151400754849,0.0003051479725870976,0.008144207764416933,0.008865375071763992,0.001875624991953373,0.0018183750410874684,0.00012174720516694864,0.001649125013500452,0.0019303751178085804,0.0005780830979347229,0.0005746246315538883,1.811199916801496e-05,0.0005509159527719021,0.00059487484395504,0.266,0.24133333333333332,0.037747700445045516,0.188,0.27
500,500,3,0.01551433326676488,0.015793263756980497,0.0014655565136864784,0.01415412500500679,0.017711332999169827,0.012271333020180464,0.012786694336682558,0.0015669212637936074,0.011177917011082172,0.014910832978785038,0.002129167318344116,0.002210250124335289,0.0002441888827741827,0.0019600829109549522,0.0025415001437067986,0.0008404171094298363,0.0007963192959626516,6.710180047316603e-05,0.0007015001028776169,0.0008470406755805016,0.192,0.18066666666666667,0.029679772386069444,0.13999999999999999,0.21000000000000005
1000,10,3,0.01048591686412692,0.010736875236034393,0.0004916235441415352,0.010300833731889725,0.011423875112086535,0.0077146668918430805,0.007989569411923489,0.0004777355539970925,0.007592541165649891,0.008661500178277493,0.0018068328499794006,0.0017935972039898236,2.4216340421744996e-05,0.0017596250399947166,0.0018143337219953537,0.0009555420838296413,0.0009537086201210817,3.608467261305341e-06,0.0009486675262451172,0.0009569162502884865,0.43499999999999994,0.43533333333333335,0.0053124591501697484,0.429,0.442
1000,25,3,0.011752957943826914,0.011161624609182278,0.0009172140227920465,0.009866124950349331,0.01186579093337059,0.008871750440448523,0.008337916806340218,0.0009024964208429445,0.007067000027745962,0.009074999950826168,0.0018414999358356,0.0018494861821333568,3.4100677162217496e-05,0.001812291331589222,0.0018946672789752483,0.0009784996509552002,0.000974221620708704,1.218602748971106e-05,0.0009576249867677689,0.000986540224403143,0.441,0.4403333333333334,0.001699673171197571,0.43800000000000006,0.442
1000,50,3,0.01096433401107788,0.011258416809141636,0.0009010375554700232,0.010331708006560802,0.012479208409786224,0.008044667076319456,0.008366791686664024,0.0008721285274809157,0.0074967918917536736,0.009558916091918945,0.0019751661457121372,0.0019449304478863876,4.385447173809284e-05,0.0018829172477126122,0.001976707950234413,0.0009451261721551418,0.0009466946745912234,3.853571429304338e-06,0.0009429589845240116,0.0009519988670945168,0.43499999999999994,0.43533333333333335,0.008576453553512412,0.425,0.446
1000,100,3,0.01320204185321927,0.01258176409949859,0.0011118732082846339,0.011020292062312365,0.013522958382964134,0.010321040637791157,0.009679361091305813,0.0011411241723290587,0.008076167199760675,0.010640875436365604,0.00192958302795887,0.0019458749641974766,2.7639567594767266e-05,0.0019232500344514847,0.0019847918301820755,0.0009588329121470451,0.0009565280439953009,3.6189782487068925e-06,0.000951418187469244,0.0009593330323696136,0.37300000000000005,0.3743333333333334,0.018803073034893956,0.352,0.398
1000,250,3,0.01664375001564622,0.015452625074734291,0.0023620372134131,0.012154333293437958,0.017559791915118694,0.013234459329396486,0.012039180845022202,0.0023685991496796453,0.008731583133339882,0.014151500072330236,0.002323832828551531,0.0023121247068047523,2.318262217125218e-05,0.002279750071465969,0.002332791220396757,0.0010899589397013187,0.0011013195229073365,2.0081248551020273e-05,0.001084459014236927,0.0011295406147837639,0.296,0.2956666666666667,0.033885427874268056,0.254,0.337
1000,500,3,0.019037208054214716,0.020063902406642836,0.0015378086653996903,0.018916916102170944,0.022237583063542843,0.014817208051681519,0.015803500078618526,0.0015464884743401717,0.014606125187128782,0.01798716699704528,0.0030367919243872166,0.0030372226610779762,3.1759902373607496e-05,0.0029985420405864716,0.0030763340182602406,0.0012214579619467258,0.0012231796669463317,8.591628401366222e-06,0.0012136241421103477,0.0012344568967819214,0.24800000000000005,0.246,0.0050990195135928095,0.23899999999999996,0.251
2000,10,3,0.014390207827091217,0.01405552759145697,0.0006185578690196129,0.01318824989721179,0.014588125050067902,0.009516958147287369,0.009346236009150743,0.0005138727562275493,0.008649124763906002,0.00987262511625886,0.0027379170060157776,0.0027350280433893204,3.598415449632777e-05,0.0026895832270383835,0.0027775838971138,0.0019775829277932644,0.001974263538916906,0.00010050706241590376,0.0018495419062674046,0.0020956657826900482,0.46799999999999997,0.45549999999999996,0.026232930958371158,0.41899999999999993,0.4795
2000,25,3,0.015921332873404026,0.015698999942590792,0.0008140957164104449,0.014609542209655046,0.016566124744713306,0.011005416978150606,0.010828541591763496,0.000772879610079573,0.00980599969625473,0.011674208100885153,0.00304637523368001,0.003023305907845497,4.439015365747584e-05,0.002961208578199148,0.0030623339116573334,0.0018455414101481438,0.0018471524429817994,4.7311885939260765e-06,0.001842333935201168,0.0018535819835960865,0.477,0.4704999999999999,0.011007573150638921,0.45499999999999996,0.4795
